Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Status
volt-espresso,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=1200&h=1200&fit=crop&crop=entropy&q=80,2,Espresso shot pulling into cup,,,,,,
flash-drip,Flash Drip,"<p>Engineered for filter. Clean, fast, electric — your daily driver.</p><p><strong>Flavor notes:</strong> Green apple, jasmine, honey<br><strong>Roast:</strong> Light-medium (2/5)<br><strong>Origin:</strong> Ethiopia Yirgacheffe</p><p>Roasted in small batches and shipped within 48 hours of roasting.</p>",Volt Coffee,"Food, Beverages & Tobacco > Beverages > Coffee",Coffee,"coffee, filter, bestseller, card-blue, roast-2",TRUE,Size,250g,Grind,Whole Bean,,,VOLT-FLASHDRI-250g-WB,250,shopify,120,deny,manual,18.50,,TRUE,TRUE,,https://images.unsplash.com/photo-1611854779393-1b2da9d400fe?w=1200&h=1200&fit=crop&crop=entropy&q=80,1,Flash Drip coffee bag on blue background,FALSE,Flash Drip — Volt Coffee,"Engineered for filter. Clean, fast, electric — your daily driver.",,g,active
flash-drip,,,,,,,,,250g,,Ground,,,VOLT-FLASHDRI-250g-GR,250,shopify,120,deny,manual,18.50,,TRUE,TRUE,,,,,,,,,g,
flash-drip,,,,,,,,,1kg,,Whole Bean,,,VOLT-FLASHDRI-1kg-WB,1000,shopify,120,deny,manual,57.00,,TRUE,TRUE,,,,,,,,,g,
flash-drip,,,,,,,,,1kg,,Ground,,,VOLT-FLASHDRI-1kg-GR,1000,shopify,120,deny,manual,57.00,,TRUE,TRUE,,,,,,,,,g,
flash-drip,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1521302200778-33500795e128?w=1200&h=1200&fit=crop&crop=entropy&q=80,2,Drip coffee brewing,,,,,,
midnight-surge,Midnight Surge,"<p>The darkest thing we roast. For espresso machines, moka pots, and night shifts.</p><p><strong>Flavor notes:</strong> Smoked caramel, black cherry, bittersweet cocoa<br><strong>Roast:</strong> Dark (5/5)<br><strong>Origin:</strong> Guatemala</p><p>Roasted in small batches and shipped within 48 hours of roasting.</p>",Volt Coffee,"Food, Beverages & Tobacco > Beverages > Coffee",Coffee,"coffee, dark-roast, card-red, roast-5",TRUE,Size,250g,Grind,Whole Bean,,,VOLT-MIDNIGHT-250g-WB,250,shopify,120,deny,manual,19.50,,TRUE,TRUE,,https://images.unsplash.com/photo-1610889556528-9a770e32642f?w=1200&h=1200&fit=crop&crop=entropy&q=80,1,Midnight Surge dark roast bag,FALSE,Midnight Surge — Volt Coffee,"The darkest thing we roast. For espresso machines, moka pots, and night shifts.",,g,active
midnight-surge,,,,,,,,,250g,,Ground,,,VOLT-MIDNIGHT-250g-GR,250,shopify,120,deny,manual,19.50,,TRUE,TRUE,,,,,,,,,g,
midnight-surge,,,,,,,,,1kg,,Whole Bean,,,VOLT-MIDNIGHT-1kg-WB,1000,shopify,120,deny,manual,61.00,,TRUE,TRUE,,,,,,,,,g,
midnight-surge,,,,,,,,,1kg,,Ground,,,VOLT-MIDNIGHT-1kg-GR,1000,shopify,120,deny,manual,61.00,,TRUE,TRUE,,,,,,,,,g,
midnight-surge,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1512568400610-62da28bc8a13?w=1200&h=1200&fit=crop&crop=entropy&q=80,2,Dark roasted coffee in cup,,,,,,
morning-static,Morning Static,"<p>A featherweight light roast with a crackle of citrus. Turn the dial up gently.</p><p><strong>Flavor notes:</strong> Lemon zest, white peach, black tea<br><strong>Roast:</strong> Light (1/5)<br><strong>Origin:</strong> Kenya AA</p><p>Roasted in small batches and shipped within 48 hours of roasting.</p>",Volt Coffee,"Food, Beverages & Tobacco > Beverages > Coffee",Coffee,"coffee, light-roast, card-mint, roast-1",TRUE,Size,250g,Grind,Whole Bean,,,VOLT-MORNINGS-250g-WB,250,shopify,120,deny,manual,20.00,,TRUE,TRUE,,https://images.unsplash.com/photo-1524350876685-274059332603?w=1200&h=1200&fit=crop&crop=entropy&q=80,1,Morning Static light roast coffee bag,FALSE,Morning Static — Volt Coffee,A featherweight light roast with a crackle of citrus. Turn the dial up gently.,,g,active
morning-static,,,,,,,,,250g,,Ground,,,VOLT-MORNINGS-250g-GR,250,shopify,120,deny,manual,20.00,,TRUE,TRUE,,,,,,,,,g,
morning-static,,,,,,,,,1kg,,Whole Bean,,,VOLT-MORNINGS-1kg-WB,1000,shopify,120,deny,manual,63.00,,TRUE,TRUE,,,,,,,,,g,
morning-static,,,,,,,,,1kg,,Ground,,,VOLT-MORNINGS-1kg-GR,1000,shopify,120,deny,manual,63.00,,TRUE,TRUE,,,,,,,,,g,
morning-static,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1461023058943-07fcbe16d735?w=1200&h=1200&fit=crop&crop=entropy&q=80,2,Light roast coffee brewing in the morning,,,,,,
decaf-circuit,Decaf Circuit,"<p>All the flavor, none of the jolt. Swiss-water decaf that still tastes plugged in.</p><p><strong>Flavor notes:</strong> Milk chocolate, toasted almond, date<br><strong>Roast:</strong> Medium (3/5)<br><strong>Origin:</strong> Colombia (Swiss Water)</p><p>Roasted in small batches and shipped within 48 hours of roasting.</p>",Volt Coffee,"Food, Beverages & Tobacco > Beverages > Coffee",Coffee,"coffee, decaf, card-blue, roast-3",TRUE,Size,250g,Grind,Whole Bean,,,VOLT-DECAFCIR-250g-WB,250,shopify,120,deny,manual,18.00,,TRUE,TRUE,,https://images.unsplash.com/photo-1497935586351-b67a49e012bf?w=1200&h=1200&fit=crop&crop=entropy&q=80,1,Decaf Circuit coffee bag on cafe counter,FALSE,Decaf Circuit — Volt Coffee,"All the flavor, none of the jolt. Swiss-water decaf that still tastes plugged in.",,g,active
decaf-circuit,,,,,,,,,250g,,Ground,,,VOLT-DECAFCIR-250g-GR,250,shopify,120,deny,manual,18.00,,TRUE,TRUE,,,,,,,,,g,
decaf-circuit,,,,,,,,,1kg,,Whole Bean,,,VOLT-DECAFCIR-1kg-WB,1000,shopify,120,deny,manual,56.00,,TRUE,TRUE,,,,,,,,,g,
decaf-circuit,,,,,,,,,1kg,,Ground,,,VOLT-DECAFCIR-1kg-GR,1000,shopify,120,deny,manual,56.00,,TRUE,TRUE,,,,,,,,,g,
decaf-circuit,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1554118811-1e0d58224f24?w=1200&h=1200&fit=crop&crop=entropy&q=80,2,Coffee served in a cafe,,,,,,
volt-logo-tee,Volt Logo Tee,"<p>Heavyweight 220gsm cotton tee with the Volt bolt mark. Boxy cut, lightning included.</p>",Volt Coffee,Apparel & Accessories > Clothing > Shirts & Tops,Apparel,"merch, apparel, card-red",TRUE,Size,S,,,,,VOLT-VOLTLOGO-S,300,shopify,60,deny,manual,28.00,,TRUE,TRUE,,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=1200&h=1200&fit=crop&crop=entropy&q=80,1,Volt logo tee front,FALSE,Volt Logo Tee — Volt Coffee,,,g,active
volt-logo-tee,,,,,,,,,M,,,,,VOLT-VOLTLOGO-M,300,shopify,60,deny,manual,28.00,,TRUE,TRUE,,,,,,,,,g,
volt-logo-tee,,,,,,,,,L,,,,,VOLT-VOLTLOGO-L,300,shopify,60,deny,manual,28.00,,TRUE,TRUE,,,,,,,,,g,
volt-logo-tee,,,,,,,,,XL,,,,,VOLT-VOLTLOGO-XL,300,shopify,60,deny,manual,28.00,,TRUE,TRUE,,,,,,,,,g,
volt-logo-tee,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=1200&h=1200&fit=crop&crop=entropy&q=80,2,Black tee detail,,,,,,
bolt-cap,Bolt Cap,<p>Six-panel cap with embroidered bolt. One size fits most heads full of caffeine.</p>,Volt Coffee,Apparel & Accessories > Clothing Accessories > Hats,Apparel,"merch, apparel, card-mint",TRUE,Title,Default Title,,,,,VOLT-BOLTCAP,400,shopify,80,deny,manual,24.00,,TRUE,TRUE,,https://images.unsplash.com/photo-1588850561407-ed78c282e89b?w=1200&h=1200&fit=crop&crop=entropy&q=80,1,Bolt embroidered cap,FALSE,Bolt Cap — Volt Coffee,,,g,active
electric-mug,Electric Mug,"<p>350ml stoneware mug in charged mint. Dishwasher safe, attitude permanent.</p>",Volt Coffee,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Drinkware,"merch, drinkware, card-blue",TRUE,Title,Default Title,,,,,VOLT-ELECTRIC,400,shopify,80,deny,manual,16.00,20.00,TRUE,TRUE,,https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?w=1200&h=1200&fit=crop&crop=entropy&q=80,1,Electric mug in mint,FALSE,Electric Mug — Volt Coffee,,,g,active
electric-mug,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1517256064527-09c73fc73e38?w=1200&h=1200&fit=crop&crop=entropy&q=80,2,Mug on cafe table,,,,,,
